CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,id
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,26
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,27
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,28
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,29
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,30
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,31
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,32
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,33
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,34
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,35
Mojado,"Luz del día natural, solar",Nublado,,Nivel blanco,,36
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,37
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,38
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,39
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,40
Otra,"Luz del día natural, solar",Despejado,,Nivel blanco,,41
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,42
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,43
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,44
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,45
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,46
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,47
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,48
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,49
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,50
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,51
Mojado,"Amanecer o atardecer, con luz artificial",Nublado,,Nivel blanco,,52
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,53
Con aceite,"Luz del día natural, solar",Despejado,,Nivel blanco,,54
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,55
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,56
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,57
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,58
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,59
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,60
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,61
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,62
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,63
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,64
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,65
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,66
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,67
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,68
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,69
Mojado,Sin luz natural y con iluminación artificial encen,Lluvia débil,,Nivel blanco,,70
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,71
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,72
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,73
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,74
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,75
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,76
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,77
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,78
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,79
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,80
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,81
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,82
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,83
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,84
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,85
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,86
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,87
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,88
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,89
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,90
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,91
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,92
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,93
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,94
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,95
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,96
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,97
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,98
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,99
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,100
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,101
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,102
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,103
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,104
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,105
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,106
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,107
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,108
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,109
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,110
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,111
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,112
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,113
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,114
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,115
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,116
Se desconoce,"Luz del día natural, solar",Despejado,,Se desconoce,,117
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,118
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,119
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,120
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,121
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,122
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,123
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,124
Mojado,"Amanecer o atardecer, con luz artificial",Lluvia débil,,Nivel blanco,,125
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,126
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,127
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,128
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,129
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,130
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,131
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,132
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,133
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,134
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,135
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,136
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Nublado,,Nivel blanco,,137
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,138
Mojado,Sin luz natural ni artificial,Nublado,,Nivel blanco,,139
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,140
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,141
Mojado,"Amanecer o atardecer, con luz artificial",Lluvia débil,,Nivel blanco,,142
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,143
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,144
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,145
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,146
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,147
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,148
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,149
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,150
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,151
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,152
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,153
Mojado,"Luz del día natural, solar",Nublado,,Sin especificar,,154
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,155
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Nivel blanco,,156
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,157
Seco y limpio,"Amanecer o atardecer, con luz artificial",Se desconoce,,Nivel verde,,158
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Nivel blanco,,159
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,160
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,161
Mojado,"Amanecer o atardecer, con luz artificial",Lluvia débil,,Nivel amarillo,,162
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Nivel blanco,,163
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,164
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,165
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel rojo,,166
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,167
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,168
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,169
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,170
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Nivel blanco,,171
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,172
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Se desconoce,,Sin especificar,,173
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,174
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,175
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Se desconoce,,176
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Se desconoce,,177
Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,178
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,179
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,180
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,181
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,182
Seco y limpio,Sin luz natural y con iluminación artificial encen,Se desconoce,,Nivel blanco,,183
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Se desconoce,,184
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,185
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,186
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,187
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,188
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,189
Mojado,"Luz del día natural, solar",Despejado,,Nivel blanco,,190
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Nivel blanco,,191
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,192
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel amarillo,,193
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,194
Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,195
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,196
Seco y limpio,Sin luz natural y con iluminación artificial encen,Se desconoce,,Nivel blanco,,197
Seco y limpio,Sin luz natural y con iluminación artificial encen,Se desconoce,,Nivel blanco,,198
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Nivel blanco,,199
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,200
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,201
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,202
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,203
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,204
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,205
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,206
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,207
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,208
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel verde,,209
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,210
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,211
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,212
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,213
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,214
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,215
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,216
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,217
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,Viento fuerte,218
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,219
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,220
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,221
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,222
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel verde,,223
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,224
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,225
Seco y limpio,"Luz del día natural, solar",Se desconoce,,Nivel verde,,226
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel verde,,227
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,228
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,229
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,230
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,231
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,232
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,233
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,234
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,235
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,236
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,237
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,238
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,239
Mojado,"Luz del día natural, solar",Nublado,,Nivel verde,,240
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,241
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel verde,,242
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,243
Seco y limpio,"Amanecer o atardecer, con luz artificial",Nublado,,Nivel verde,,244
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,245
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,246
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,247
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,248
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,249
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,250
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,251
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,252
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,253
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,254
Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,255
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,256
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,257
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,258
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,259
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,260
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,261
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,262
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,263
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,264
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,265
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,266
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,267
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,268
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,269
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,270
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,271
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,272
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,273
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,274
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel verde,,275
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,276
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel verde,,277
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,278
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,279
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,280
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,281
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,282
Con barro o gravilla suelta,"Luz del día natural, solar",Despejado,,Nivel verde,,283
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,284
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,285
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,286
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,287
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,288
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,289
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Sin especificar,,290
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,291
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,292
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,293
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,294
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,295
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,296
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,297
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,298
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,299
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,300
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,301
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,302
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,303
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,304
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,305
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel verde,,306
Seco y limpio,"Luz del día natural, solar",Despejado,Niebla ligera,Nivel verde,,307
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,308
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,309
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,310
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,311
Mojado,Sin luz natural y con iluminación artificial encen,Nublado,,Nivel verde,,312
Mojado,"Amanecer o atardecer, sin luz artificial",Lluvia débil,,Nivel blanco,,313
Mojado,"Amanecer o atardecer, con luz artificial",Nublado,,Nivel blanco,,314
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,315
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,316
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,317
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,318
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,319
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,320
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,321
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,322
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,323
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,324
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,325
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,326
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,327
Mojado,Sin luz natural ni artificial,Lluvia débil,,Nivel verde,,328
Seco y limpio,Sin luz natural ni artificial,Nublado,,Nivel amarillo,,329
Seco y limpio,Sin luz natural ni artificial,Nublado,,Nivel amarillo,,330
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,331
Mojado,Sin luz natural y con iluminación artificial no en,Lluvia débil,,Nivel blanco,,332
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,333
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,334
Mojado,Sin luz natural ni artificial,Nublado,,Nivel blanco,,335
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,336
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,337
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,338
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,339
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,340
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,341
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,342
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,343
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,344
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,345
Mojado,"Luz del día natural, solar",Lluvia débil,Niebla ligera,Nivel blanco,,346
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,347
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,348
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,349
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,350
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,351
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,352
Seco y limpio,"Luz del día natural, solar",Despejado,Niebla ligera,Nivel blanco,,353
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,354
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,355
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,356
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel verde,,357
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,358
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,359
