CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,id
,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,39
,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,40
,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,41
,No inventariada,Calle,Municipal,Se desconoce,42
,No inventariada,Calle,Municipal,Se desconoce,43
,No inventariada,Calle,Municipal,Se desconoce,44
,CV-794,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,45
,No inventariada,Calle,Municipal,Se desconoce,46
,No inventariada,Calle,Municipal,Se desconoce,47
,No inventariada,Calle,Municipal,Se desconoce,48
,No inventariada,Calle,Municipal,Se desconoce,49
,No inventariada,Calle,Municipal,Se desconoce,50
,No inventariada,Calle,Municipal,Se desconoce,51
,No inventariada,Calle,Municipal,Se desconoce,52
,No inventariada,Calle,Municipal,Se desconoce,53
,No inventariada,Calle,Municipal,Se desconoce,54
,No inventariada,Calle,Municipal,Se desconoce,55
,No inventariada,Calle,Municipal,Se desconoce,56
,No inventariada,Calle,Municipal,Se desconoce,57
,No inventariada,Calle,Municipal,Se desconoce,58
,No inventariada,Calle,Municipal,Se desconoce,59
,No inventariada,Calle,Municipal,Se desconoce,60
,No inventariada,Calle,Municipal,Se desconoce,61
,No inventariada,Calle,Municipal,Se desconoce,62
,No inventariada,Calle,Municipal,Se desconoce,63
,No inventariada,Calle,Municipal,Se desconoce,64
,No inventariada,Calle,Municipal,Se desconoce,65
,No inventariada,Calle,Municipal,Se desconoce,66
,No inventariada,Calle,Municipal,Se desconoce,67
,No inventariada,Calle,Municipal,Se desconoce,68
,No inventariada,Calle,Municipal,Se desconoce,69
,No inventariada,Calle,Municipal,Se desconoce,70
,No inventariada,Calle,Municipal,Se desconoce,71
,No inventariada,Calle,Municipal,Se desconoce,72
,CV-795,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,73
,No inventariada,Calle,Municipal,Se desconoce,74
,No inventariada,Calle,Municipal,Se desconoce,75
,No inventariada,Calle,Municipal,Se desconoce,76
,No inventariada,Calle,Municipal,Se desconoce,77
,No inventariada,Calle,Municipal,Se desconoce,78
,No inventariada,Calle,Municipal,Se desconoce,79
,No inventariada,Calle,Municipal,Se desconoce,80
,No inventariada,Calle,Municipal,Se desconoce,81
,No inventariada,Calle,Municipal,Se desconoce,82
,No inventariada,Calle,Municipal,Se desconoce,83
,A-7,Autovía,Estatal,Descendente,84
,No inventariada,Calle,Municipal,Se desconoce,85
,No inventariada,Calle,Municipal,Se desconoce,86
,No inventariada,Calle,Municipal,Se desconoce,87
,No inventariada,Calle,Municipal,Se desconoce,88
,No inventariada,Calle,Municipal,Se desconoce,89
,No inventariada,Calle,Municipal,Se desconoce,90
,No inventariada,Calle,Municipal,Se desconoce,91
,No inventariada,Calle,Municipal,Se desconoce,92
,CV-795,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,93
,No inventariada,Camino vecinal,Municipal,Descendente,94
,No inventariada,Calle,Municipal,Se desconoce,95
,No inventariada,Calle,Municipal,Se desconoce,96
,No inventariada,Calle,Municipal,Se desconoce,97
,No inventariada,Calle,Municipal,Se desconoce,98
,No inventariada,Calle,Municipal,Se desconoce,99
,No inventariada,Calle,Municipal,Se desconoce,100
,A-7,Autovía,Estatal,Ascendente,101
,No inventariada,Calle,Municipal,Se desconoce,102
,No inventariada,Calle,Municipal,Se desconoce,103
,No inventariada,Calle,Municipal,Se desconoce,104
,No inventariada,Calle,Municipal,Se desconoce,105
,No inventariada,Calle,Municipal,Se desconoce,106
,CV-70,Carretera Convencional de calzada única,Autonómica,Descendente,107
,CV-785,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,108
,No inventariada,Calle,Municipal,Se desconoce,109
,No inventariada,Calle,Municipal,Se desconoce,110
,No inventariada,Calle,Municipal,Se desconoce,111
,No inventariada,Calle,Municipal,Se desconoce,112
,No inventariada,Calle,Municipal,Se desconoce,113
,No inventariada,Calle,Municipal,Se desconoce,114
,No inventariada,Calle,Municipal,Se desconoce,115
,No inventariada,Otro,Municipal,Se desconoce,116
,No inventariada,Calle,Municipal,Se desconoce,117
,No inventariada,Calle,Municipal,Se desconoce,118
,No inventariada,Calle,Municipal,Se desconoce,119
,No inventariada,Calle,Municipal,Se desconoce,120
,No inventariada,Calle,Municipal,Se desconoce,121
,No inventariada,Calle,Municipal,Se desconoce,122
,No inventariada,Calle,Municipal,Se desconoce,123
,No inventariada,Calle,Municipal,Se desconoce,124
,No inventariada,Calle,Municipal,Se desconoce,125
,No inventariada,Calle,Municipal,Se desconoce,126
,No inventariada,Calle,Municipal,Se desconoce,127
,No inventariada,Calle,Municipal,Se desconoce,128
,No inventariada,Calle,Municipal,Se desconoce,129
,No inventariada,Calle,Municipal,Se desconoce,130
,No inventariada,Calle,Municipal,Se desconoce,131
,No inventariada,Calle,Municipal,Se desconoce,132
,No inventariada,Calle,Municipal,Se desconoce,133
,No inventariada,Calle,Municipal,Se desconoce,134
,No inventariada,Calle,Municipal,Se desconoce,135
,No inventariada,Calle,Municipal,Se desconoce,136
,N-340,Carretera Convencional de calzada única,Estatal,Ascendente,137
,No inventariada,Calle,Municipal,Se desconoce,138
,CV-795,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,139
,No inventariada,Calle,Municipal,Se desconoce,140
,No inventariada,Calle,Municipal,Se desconoce,141
,No inventariada,Calle,Municipal,Se desconoce,142
,No inventariada,Calle,Municipal,Se desconoce,143
,No inventariada,Calle,Municipal,Se desconoce,144
,No inventariada,Calle,Municipal,Se desconoce,145
,No inventariada,Calle,Municipal,Se desconoce,146
,No inventariada,Calle,Municipal,Se desconoce,147
,No inventariada,Calle,Municipal,Se desconoce,148
,No inventariada,Calle,Municipal,Se desconoce,149
,No inventariada,Calle,Municipal,Se desconoce,150
,No inventariada,Calle,Municipal,Se desconoce,151
,No inventariada,Calle,Municipal,Se desconoce,152
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,153
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,154
,CV-763,Carretera Convencional de calzada única,Autonómica,Descendente,155
,No inventariada,Calle,Municipal,Se desconoce,156
,No inventariada,Calle,Municipal,Se desconoce,157
,No inventariada,Calle,Municipal,Se desconoce,158
,No inventariada,Calle,"Provincial, Cabildo/Consell",Se desconoce,159
,N-332,Carretera Convencional de calzada única,Estatal,Ambos,160
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,161
,N-332,Carretera Convencional de calzada única,Estatal,Ambos,162
,No inventariada,Calle,Municipal,Se desconoce,163
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,164
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,165
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,166
,No inventariada,Calle,Municipal,Se desconoce,167
,No inventariada,Calle,Municipal,Se desconoce,168
,No inventariada,Calle,Municipal,Se desconoce,169
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,170
,No inventariada,Calle,Municipal,Se desconoce,171
,No inventariada,Calle,Municipal,Se desconoce,172
,No inventariada,Calle,Municipal,Se desconoce,173
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,174
,No inventariada,Calle,Municipal,Se desconoce,175
,No inventariada,Calle,Municipal,Se desconoce,176
,No inventariada,Calle,Municipal,Se desconoce,177
,No inventariada,Calle,Municipal,Se desconoce,178
,No inventariada,Calle,Municipal,Se desconoce,179
,No inventariada,Calle,Municipal,Se desconoce,180
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,181
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,182
,No inventariada,Calle,Municipal,Se desconoce,183
,No inventariada,Calle,Municipal,Se desconoce,184
,No inventariada,Calle,Municipal,Se desconoce,185
,No inventariada,Calle,Municipal,Se desconoce,186
,No inventariada,Calle,Municipal,Se desconoce,187
,CV-753,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,188
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,189
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,190
,No inventariada,Calle,Municipal,Se desconoce,191
,CV-763,Carretera Convencional de calzada única,Autonómica,Descendente,192
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,193
,CV-70,Carretera Convencional de calzada única,Autonómica,Ascendente,194
,No inventariada,Calle,Municipal,Se desconoce,195
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,196
,No inventariada,Calle,Municipal,Se desconoce,197
,No inventariada,Calle,Municipal,Se desconoce,198
,No inventariada,Calle,Municipal,Se desconoce,199
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,200
,No inventariada,Calle,Municipal,Se desconoce,201
,CV-920,Carretera Convencional de calzada única,Autonómica,Descendente,202
,CV-920,Carretera Convencional de calzada única,Autonómica,Ascendente,203
,CV-920,Carretera Convencional de calzada única,Autonómica,Ascendente,204
CV-940,CV-940,Carretera Convencional de calzada única,Autonómica,Ascendente,205
,CV-940,Carretera Convencional de calzada única,Autonómica,Descendente,206
CV-905,AP-7,Autopista de peaje,Estatal,Ascendente,207
,CV-840,Carretera Convencional de calzada única,Autonómica,Descendente,208
A-70,A-77a,Autovía,Estatal,Descendente,209
,A-31,Autovía,Estatal,Ascendente,210
,A-70,Autovía,Estatal,Ascendente,211
A-31,A-70,Autovía,Estatal,Descendente,212
,A-79,Carretera Convencional de doble calzada,Estatal,Descendente,213
A-70,A-77,Autovía,Estatal,Descendente,214
A-70,A-77a,Autovía,Estatal,Ascendente,215
,CV-824,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,216
,A-31,Autovía,Estatal,Ascendente,217
,A-31,Autovía,Estatal,Ascendente,218
,A-77a,Autovía,Estatal,Descendente,219
,No inventariada,Carretera Convencional de doble calzada,Otra,Descendente,220
,A-70,Autovía,Estatal,Descendente,221
,A-70,Autovía,Estatal,Descendente,222
,No inventariada,Calle,Municipal,Se desconoce,223
,No inventariada,Calle,Municipal,Se desconoce,224
,A-70,Autovía,Estatal,Descendente,225
,No inventariada,Calle,Municipal,Se desconoce,226
,No inventariada,Calle,Municipal,Se desconoce,227
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,228
,A-31,Autovía,Estatal,Ascendente,229
,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,230
A-70,A-70,Autovía,Estatal,Ascendente,231
,A-70,Autovía,Estatal,Descendente,232
,A-31,Autovía,Estatal,Descendente,233
,A-31,Autovía,Estatal,Ascendente,234
A-70,RAMAL E.,Ramal de enlace,Otra,Ascendente,235
,A-31,Autovía,Estatal,Descendente,236
,CV-820,Carretera Convencional de calzada única,Autonómica,Descendente,237
,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,238
,A-7,Autovía,Estatal,Ascendente,239
,A-77,Autovía,Estatal,Descendente,240
,A-70,Autovía,Estatal,Descendente,241
,A-70,Autovía,Estatal,Descendente,242
,A-70,Autovía,Estatal,Ascendente,243
,A-70,Autovía,Estatal,Ascendente,244
,No inventariada,Calle,Municipal,Se desconoce,245
,A-70,Autovía,Estatal,Descendente,246
,No inventariada,Carretera Convencional de doble calzada,Otra,Ascendente,247
,A-77a,Autovía,Estatal,Ambos,248
,A-79,Carretera Convencional de doble calzada,Estatal,Ascendente,249
,No inventariada,Calle,Municipal,Se desconoce,250
,A-31,Autovía,Estatal,Ascendente,251
,No inventariada,Calle,Municipal,Se desconoce,252
,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,253
,No inventariada,Calle,Municipal,Se desconoce,254
,No inventariada,Calle,Municipal,Se desconoce,255
,No inventariada,Calle,Municipal,Se desconoce,256
,No inventariada,Calle,Municipal,Se desconoce,257
,A-70,Autovía,Estatal,Ascendente,258
,No inventariada,Calle,Municipal,Se desconoce,259
,No inventariada,Calle,Municipal,Se desconoce,260
,No inventariada,Calle,Municipal,Se desconoce,261
,No inventariada,Calle,Municipal,Se desconoce,262
,A-70,Autovía,Estatal,Ascendente,263
,CAMINO VEC,Camino vecinal,Municipal,Descendente,264
,A-70,Autovía,Estatal,Descendente,265
,A-77a,Autovía,Estatal,Ascendente,266
,No inventariada,Calle,Municipal,Se desconoce,267
,No inventariada,Calle,Municipal,Se desconoce,268
,No inventariada,Calle,Municipal,Se desconoce,269
,No inventariada,Calle,Municipal,Se desconoce,270
,No inventariada,Calle,Municipal,Se desconoce,271
,CV-821,Carretera Convencional de doble calzada,Autonómica,Ascendente,272
,A-31,Autovía,Estatal,Ascendente,273
,A-31,Autovía,Estatal,Ascendente,274
,No inventariada,Calle,Municipal,Se desconoce,275
,A-77a,Autovía,Estatal,Descendente,276
,No inventariada,Calle,Municipal,Se desconoce,277
,No inventariada,Calle,Municipal,Se desconoce,278
,No inventariada,Calle,Municipal,Se desconoce,279
,No inventariada,Camino vecinal,Municipal,Ambos,280
,CV-820,Carretera Convencional de calzada única,Autonómica,Descendente,281
A-70,A-70,Autovía,Estatal,Ascendente,282
,No inventariada,Calle,Municipal,Se desconoce,283
,No inventariada,Calle,Municipal,Se desconoce,284
,A-70,Autovía,Estatal,Descendente,285
,No inventariada,Calle,Municipal,Se desconoce,286
,No inventariada,Calle,Municipal,Se desconoce,287
,A-31,Autovía,Estatal,Ascendente,288
,A-70,Autovía,Estatal,Ascendente,289
,No inventariada,Calle,Municipal,Se desconoce,290
,No inventariada,Calle,Municipal,Se desconoce,291
,No inventariada,Calle,Municipal,Se desconoce,292
,No inventariada,Calle,Municipal,Se desconoce,293
,No inventariada,Calle,Municipal,Se desconoce,294
,No inventariada,Calle,Municipal,Se desconoce,295
,CV-821,Carretera Convencional de doble calzada,Autonómica,Descendente,296
,CV-824,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,297
,A-70,Autovía,Estatal,Ascendente,298
,No inventariada,Calle,Municipal,Se desconoce,299
,A-70,Autovía,Estatal,Ascendente,300
,A-70,Autovía,Estatal,Descendente,301
A-70,AV. UNIVER,Carretera Convencional de doble calzada,Otra,Descendente,302
A-77,A-70,Autovía,Estatal,Ascendente,303
,A-70,Autovía,Estatal,Ascendente,304
,No inventariada,Calle,Otra,Se desconoce,305
,No inventariada,Calle,Municipal,Se desconoce,306
,No inventariada,Calle,Municipal,Se desconoce,307
,No inventariada,Calle,Municipal,Se desconoce,308
,A-31,Autovía,Estatal,Ascendente,309
,A-70,Autovía,Estatal,Ascendente,310
,No inventariada,Calle,Municipal,Se desconoce,311
,No inventariada,Calle,Municipal,Se desconoce,312
A-70,A-70,Autovía,Estatal,Descendente,313
,A-70,Autovía,Estatal,Ascendente,314
,No inventariada,Calle,Municipal,Se desconoce,315
,A-31,Autovía,Estatal,Ascendente,316
,CV-824,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,317
,No inventariada,Calle,Municipal,Se desconoce,318
,No inventariada,Calle,Municipal,Se desconoce,319
A-70,A-77a,Autovía,Estatal,Ascendente,320
,CV-821,Carretera Convencional de doble calzada,Autonómica,Descendente,321
,A-70,Autovía,Estatal,Ascendente,322
,A-70,Autovía,Estatal,Descendente,323
,A-79,Carretera Convencional de doble calzada,Estatal,Descendente,324
,A-31,Autovía,Estatal,Ascendente,325
,A-77a,Autovía,Estatal,Ascendente,326
,A-70,Autovía,Estatal,Descendente,327
,A-31,Autovía,Estatal,Descendente,328
,A-70,Autovía,Estatal,Descendente,329
,A-70,Autovía,Estatal,Descendente,330
,CV-824,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,331
,A-70,Autovía,Estatal,Descendente,332
,A-31,Autovía,Estatal,Descendente,333
,No inventariada,Calle,Municipal,Se desconoce,334
,A-31,Autovía,Estatal,Ascendente,335
,A-70,Autovía,Estatal,Descendente,336
,A-77a,Autovía,Estatal,Descendente,337
,CV-91,Carretera Convencional de calzada única,Autonómica,Ascendente,338
,CV-912,Carretera Convencional de calzada única,Autonómica,Ascendente,339
,AP-7,Autopista de peaje,Estatal,Descendente,340
,CV-91,Carretera Convencional de doble calzada,Autonómica,Descendente,341
,CV-914,Carretera Convencional de calzada única,Autonómica,Ascendente,342
,CV-91,Carretera Convencional de calzada única,Autonómica,Ascendente,343
,CV-920,Carretera Convencional de calzada única,Autonómica,Descendente,344
,AP-7,Autopista de peaje,Estatal,Ascendente,345
,No inventariada,Calle,Municipal,Se desconoce,346
,AP-7,Autopista de peaje,Estatal,Descendente,347
,CV-940,Carretera Convencional de calzada única,Autonómica,Ascendente,348
,CV-91,Carretera Convencional de doble calzada,Autonómica,Ascendente,349
,CV-912,Carretera Convencional de calzada única,Autonómica,Ascendente,350
CV-912,CV-912,Carretera Convencional de calzada única,Autonómica,Ascendente,351
AP-7,CV-91,Carretera Convencional de doble calzada,Autonómica,Descendente,352
,No inventariada,Calle,Municipal,Se desconoce,353
,CV-91,Carretera Convencional de calzada única,Autonómica,Descendente,354
,AP-7,Autopista de peaje,Estatal,Ascendente,355
,CV-91,Carretera Convencional de calzada única,Autonómica,Ambos,356
,CV-91,Carretera Convencional de calzada única,Autonómica,Descendente,357
,No inventariada,Camino vecinal,Municipal,Ascendente,358
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,359
,AP-7,Autopista de peaje,Estatal,Descendente,360
,No inventariada,Calle,Municipal,Se desconoce,361
,No inventariada,Calle,Municipal,Se desconoce,362
,No inventariada,Calle,Municipal,Se desconoce,363
,No inventariada,Calle,Municipal,Se desconoce,364
,CV-755,Carretera Convencional de calzada única,Autonómica,Descendente,365
,AP-7,Autopista de peaje,Estatal,Ascendente,366
,AP-7,Autopista de peaje,Estatal,Descendente,367
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,368
,No inventariada,Calle,Municipal,Se desconoce,369
,No inventariada,Calle,Municipal,Se desconoce,370
,AP-7,Autopista de peaje,Estatal,Descendente,371
,CV-755,Carretera Convencional de calzada única,Autonómica,Ascendente,372
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,373
,No inventariada,Calle,Municipal,Se desconoce,374
,CAMIPLANET,Camino vecinal,Municipal,Ambos,375
,No inventariada,Calle,Municipal,Se desconoce,376
,No inventariada,Recinto delimitado,Municipal,Se desconoce,377
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,378
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,379
,No inventariada,Calle,Municipal,Se desconoce,380
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,381
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,382
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,383
,N-325,Carretera Convencional de calzada única,Estatal,Ascendente,384
,CV-845,Carretera Convencional de calzada única,Autonómica,Descendente,385
,CV-84,Carretera Convencional de calzada única,Autonómica,Descendente,386
,PECUARIA,Otro,Municipal,Ascendente,387
,CV-825,Carretera Convencional de calzada única,Autonómica,Descendente,388
9999999999.0,No inventariada,Camino vecinal,Municipal,Ascendente,389
,CV-846,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,390
,CV-84,Carretera Convencional de doble calzada,Autonómica,Descendente,391
,CV-846,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,392
,CV-84,Carretera Convencional de calzada única,Autonómica,Descendente,393
,CV-847,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,394
,CV-720,Carretera Convencional de calzada única,Autonómica,Ascendente,395
,CV-795,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,396
,CV-795,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,397
,CV-795,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,398
,CV-795,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,399
,CV-70,Carretera Convencional de calzada única,Autonómica,Ascendente,400
,CV-81,Carretera Convencional de calzada única,Autonómica,Ascendente,401
,No inventariada,Calle,Municipal,Se desconoce,402
CV-91,CV-914,Carretera Convencional de calzada única,Autonómica,Descendente,403
,CV-914,Carretera Convencional de calzada única,Autonómica,Ascendente,404
,CV-91,Carretera Convencional de calzada única,Autonómica,Descendente,405
,CV-920,Carretera Convencional de calzada única,Autonómica,Descendente,406
CV-914,CV-920,Carretera Convencional de calzada única,Autonómica,Descendente,407
,No inventariada,Calle,Municipal,Se desconoce,408
,CV-729,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,409
,No inventariada,Calle,Municipal,Se desconoce,410
,CV-731,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,411
,CV-729,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,412
,CV-731,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,413
,No inventariada,Calle,Municipal,Se desconoce,414
,CV-720,Carretera Convencional de calzada única,Autonómica,Ascendente,415
,CV-720,Carretera Convencional de calzada única,Autonómica,Ascendente,416
,CV-732,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,417
,No inventariada,Otro,Municipal,Se desconoce,418
,No inventariada,Calle,Municipal,Se desconoce,419
,No inventariada,Calle,Municipal,Se desconoce,420
,No inventariada,Calle,Municipal,Se desconoce,421
,No inventariada,Calle,Municipal,Se desconoce,422
,No inventariada,Calle,Municipal,Se desconoce,423
,No inventariada,Calle,Municipal,Se desconoce,424
,No inventariada,Calle,Municipal,Se desconoce,425
,No inventariada,Calle,Municipal,Se desconoce,426
,No inventariada,Calle,Municipal,Se desconoce,427
,No inventariada,Calle,Municipal,Se desconoce,428
,No inventariada,Calle,Municipal,Se desconoce,429
,No inventariada,Calle,Municipal,Se desconoce,430
,No inventariada,Calle,Municipal,Se desconoce,431
,No inventariada,Calle,Municipal,Se desconoce,432
,No inventariada,Calle,Municipal,Se desconoce,433
,No inventariada,Calle,Municipal,Se desconoce,434
,No inventariada,Calle,Municipal,Se desconoce,435
,No inventariada,Calle,Municipal,Se desconoce,436
,No inventariada,Calle,Municipal,Se desconoce,437
,No inventariada,Calle,Municipal,Se desconoce,438
,No inventariada,Calle,Municipal,Se desconoce,439
,No inventariada,Calle,Municipal,Se desconoce,440
,No inventariada,Calle,Municipal,Se desconoce,441
,No inventariada,Calle,Municipal,Se desconoce,442
,No inventariada,Calle,Municipal,Se desconoce,443
,No inventariada,Calle,Municipal,Se desconoce,444
,No inventariada,Calle,Municipal,Se desconoce,445
,No inventariada,Calle,Municipal,Se desconoce,446
,No inventariada,Calle,Municipal,Se desconoce,447
,No inventariada,Calle,Municipal,Se desconoce,448
,No inventariada,Calle,Municipal,Se desconoce,449
,No inventariada,Calle,Municipal,Se desconoce,450
,No inventariada,Calle,Municipal,Se desconoce,451
,N-332,Carretera Convencional de doble calzada,Estatal,Ascendente,452
,No inventariada,Calle,Municipal,Se desconoce,453
,CV-70,Carretera Convencional de calzada única,Autonómica,Descendente,454
,No inventariada,Calle,Municipal,Se desconoce,455
,No inventariada,Calle,Municipal,Se desconoce,456
,No inventariada,Calle,Municipal,Se desconoce,457
,No inventariada,Calle,Municipal,Se desconoce,458
,No inventariada,Calle,Municipal,Se desconoce,459
,No inventariada,Calle,Municipal,Se desconoce,460
,N-332,Carretera Convencional de doble calzada,Estatal,Descendente,461
,No inventariada,Calle,Municipal,Se desconoce,462
,No inventariada,Calle,Municipal,Se desconoce,463
,No inventariada,Calle,Municipal,Se desconoce,464
,No inventariada,Calle,Municipal,Se desconoce,465
,No inventariada,Calle,Municipal,Se desconoce,466
,No inventariada,Calle,Municipal,Se desconoce,467
,No inventariada,Calle,Municipal,Se desconoce,468
,No inventariada,Calle,Municipal,Se desconoce,469
,AP-7,Autopista de peaje,Estatal,Ascendente,470
,No inventariada,Calle,Municipal,Se desconoce,471
,No inventariada,Calle,Municipal,Se desconoce,472
,No inventariada,Calle,Municipal,Se desconoce,473
,No inventariada,Calle,Municipal,Se desconoce,474
,No inventariada,Calle,Municipal,Se desconoce,475
,No inventariada,Calle,Municipal,Se desconoce,476
,No inventariada,Calle,Municipal,Se desconoce,477
,No inventariada,Calle,Municipal,Se desconoce,478
,No inventariada,Calle,Municipal,Se desconoce,479
CV-70,CV-70,Carretera Convencional de calzada única,Autonómica,Descendente,480
,No inventariada,Calle,Municipal,Se desconoce,481
,No inventariada,Calle,Municipal,Se desconoce,482
,No inventariada,Calle,Municipal,Se desconoce,483
,No inventariada,Calle,Municipal,Se desconoce,484
,No inventariada,Calle,Municipal,Se desconoce,485
,No inventariada,Calle,Municipal,Se desconoce,486
,No inventariada,Calle,Municipal,Se desconoce,487
,No inventariada,Calle,Municipal,Se desconoce,488
,No inventariada,Calle,Municipal,Se desconoce,489
,No inventariada,Calle,Municipal,Se desconoce,490
,No inventariada,Calle,Municipal,Se desconoce,491
,No inventariada,Calle,Municipal,Se desconoce,492
,No inventariada,Calle,Municipal,Se desconoce,493
,No inventariada,Calle,Municipal,Se desconoce,494
,No inventariada,Calle,Municipal,Se desconoce,495
,No inventariada,Calle,Municipal,Se desconoce,496
,No inventariada,Calle,Municipal,Se desconoce,497
,No inventariada,Calle,Municipal,Se desconoce,498
,No inventariada,Calle,Municipal,Se desconoce,499
