municipio,municipioLabel,codigoINE
http://www.wikidata.org/entity/Q1751994,Famorca,03068
http://www.wikidata.org/entity/Q1646107,Finestrat,03069
http://www.wikidata.org/entity/Q1768790,Formentera del Segura,03070
http://www.wikidata.org/entity/Q376236,Gata de Gorgos,03071
http://www.wikidata.org/entity/Q1768853,Gayanes,03072
http://www.wikidata.org/entity/Q1769746,Gorga,03073
http://www.wikidata.org/entity/Q1769353,Granja de Rocamora,03074
http://www.wikidata.org/entity/Q984526,Guadalest,03075
http://www.wikidata.org/entity/Q927965,Guardamar del Segura,03076
http://www.wikidata.org/entity/Q1768905,Hondón de las Nieves,03077
http://www.wikidata.org/entity/Q1985343,Hondón de los Frailes,03078
http://www.wikidata.org/entity/Q530567,Ibi,03079
http://www.wikidata.org/entity/Q1768912,Jacarilla,03080
http://www.wikidata.org/entity/Q1752098,Jalón,03081
http://www.wikidata.org/entity/Q851020,Jávea,03082
http://www.wikidata.org/entity/Q747527,Jijona,03083
http://www.wikidata.org/entity/Q1770128,Lorcha,03084
http://www.wikidata.org/entity/Q533769,Llíber,03085
http://www.wikidata.org/entity/Q1770111,Millena,03086
http://www.wikidata.org/entity/Q1769358,Monforte del Cid,03088
http://www.wikidata.org/entity/Q1645615,Monóvar,03089
http://www.wikidata.org/entity/Q1631458,Muchamiel,03090
http://www.wikidata.org/entity/Q1985301,Murla,03091
http://www.wikidata.org/entity/Q1768714,Muro de Alcoy,03092
http://www.wikidata.org/entity/Q983473,Novelda,03093
http://www.wikidata.org/entity/Q984403,La Nucía,03094
http://www.wikidata.org/entity/Q290824,Ondara,03095
http://www.wikidata.org/entity/Q587785,Onil,03096
http://www.wikidata.org/entity/Q983550,Orba,03097
http://www.wikidata.org/entity/Q1768824,Orcheta,03098
http://www.wikidata.org/entity/Q487786,Orihuela,03099
http://www.wikidata.org/entity/Q984818,Parcent,03100
http://www.wikidata.org/entity/Q1750923,Pedreguer,03101
http://www.wikidata.org/entity/Q102835,Pego,03102
http://www.wikidata.org/entity/Q1995277,Penáguila,03103
http://www.wikidata.org/entity/Q1751353,Petrel,03104
http://www.wikidata.org/entity/Q1751965,Pinoso,03105
http://www.wikidata.org/entity/Q1983306,Planes,03106
http://www.wikidata.org/entity/Q1768847,Polop,03107
http://www.wikidata.org/entity/Q1751454,Rafal,03109
http://www.wikidata.org/entity/Q1983198,Ráfol de Almunia,03110
http://www.wikidata.org/entity/Q1768833,Redován,03111
http://www.wikidata.org/entity/Q1751262,Relleu,03112
http://www.wikidata.org/entity/Q606240,Rojales,03113
http://www.wikidata.org/entity/Q1752019,La Romana,03114
http://www.wikidata.org/entity/Q1995214,Sagra,03115
http://www.wikidata.org/entity/Q1993759,Salinas,03116
http://www.wikidata.org/entity/Q1983216,Sanet y Negrals,03117
http://www.wikidata.org/entity/Q2074405,San Fulgencio,03118
http://www.wikidata.org/entity/Q740204,San Juan de Alicante,03119
http://www.wikidata.org/entity/Q984531,San Miguel de Salinas,03120
http://www.wikidata.org/entity/Q257707,Santa Pola,03121
http://www.wikidata.org/entity/Q491667,San Vicente del Raspeig,03122
http://www.wikidata.org/entity/Q1553513,Sax,03123
http://www.wikidata.org/entity/Q985137,Sella,03124
http://www.wikidata.org/entity/Q1983238,Senija,03125
http://www.wikidata.org/entity/Q1766232,Tárbena,03127
http://www.wikidata.org/entity/Q521633,Teulada,03128
http://www.wikidata.org/entity/Q1751457,Tibi,03129
http://www.wikidata.org/entity/Q1750925,Tollos,03130
http://www.wikidata.org/entity/Q578908,Tormos,03131
http://www.wikidata.org/entity/Q1641908,Torremanzanas,03132
http://www.wikidata.org/entity/Q221749,Torrevieja,03133
http://www.wikidata.org/entity/Q1770167,Valle de Alcalá,03134
http://www.wikidata.org/entity/Q1983371,Vall de Ebo,03135
http://www.wikidata.org/entity/Q1768862,Vall de Gallinera,03136
http://www.wikidata.org/entity/Q1983231,Vall de Laguart,03137
http://www.wikidata.org/entity/Q1751998,Vergel,03138
http://www.wikidata.org/entity/Q935589,Villajoyosa,03139
http://www.wikidata.org/entity/Q502249,Villena,03140
http://www.wikidata.org/entity/Q987444,Els Poblets,03901
http://www.wikidata.org/entity/Q956513,Pilar de la Horadada,03902
http://www.wikidata.org/entity/Q1983327,Los Montesinos,03903
http://www.wikidata.org/entity/Q2265463,San Isidro,03904
